"index","op","name","z","type","value","probability"
5,"R_Date","TG3N-1",,"likelihood",-2714.5,0.0005488
5,"R_Date","TG3N-1",,"likelihood",-2709.5,0.0004696
5,"R_Date","TG3N-1",,"likelihood",-2704.5,0.0005645
5,"R_Date","TG3N-1",,"likelihood",-2699.5,0.0008661
5,"R_Date","TG3N-1",,"likelihood",-2694.5,0.0012761
5,"R_Date","TG3N-1",,"likelihood",-2689.5,0.0014548
5,"R_Date","TG3N-1",,"likelihood",-2684.5,0.0013735
5,"R_Date","TG3N-1",,"likelihood",-2679.5,0.0012989
5,"R_Date","TG3N-1",,"likelihood",-2674.5,0.0013932
5,"R_Date","TG3N-1",,"likelihood",-2669.5,0.0017198
5,"R_Date","TG3N-1",,"likelihood",-2664.5,0.0021698
5,"R_Date","TG3N-1",,"likelihood",-2659.5,0.0025652
5,"R_Date","TG3N-1",,"likelihood",-2654.5,0.0026428
5,"R_Date","TG3N-1",,"likelihood",-2649.5,0.0024141
5,"R_Date","TG3N-1",,"likelihood",-2644.5,0.0021428
5,"R_Date","TG3N-1",,"likelihood",-2639.5,0.0020056
5,"R_Date","TG3N-1",,"likelihood",-2634.5,0.0021406
5,"R_Date","TG3N-1",,"likelihood",-2629.5,0.0024926
5,"R_Date","TG3N-1",,"likelihood",-2624.5,0.0030826
5,"R_Date","TG3N-1",,"likelihood",-2619.5,0.003719
5,"R_Date","TG3N-1",,"likelihood",-2614.5,0.004034
5,"R_Date","TG3N-1",,"likelihood",-2609.5,0.003984
5,"R_Date","TG3N-1",,"likelihood",-2604.5,0.003786
5,"R_Date","TG3N-1",,"likelihood",-2599.5,0.003704
5,"R_Date","TG3N-1",,"likelihood",-2594.5,0.003618
5,"R_Date","TG3N-1",,"likelihood",-2589.5,0.003476
5,"R_Date","TG3N-1",,"likelihood",-2584.5,0.003497
5,"R_Date","TG3N-1",,"likelihood",-2579.5,0.003909
5,"R_Date","TG3N-1",,"likelihood",-2574.5,0.004525
5,"R_Date","TG3N-1",,"likelihood",-2569.5,0.004739
5,"R_Date","TG3N-1",,"likelihood",-2564.5,0.004346
5,"R_Date","TG3N-1",,"likelihood",-2559.5,0.003915
5,"R_Date","TG3N-1",,"likelihood",-2554.5,0.003686
5,"R_Date","TG3N-1",,"likelihood",-2549.5,0.003606
5,"R_Date","TG3N-1",,"likelihood",-2544.5,0.003632
5,"R_Date","TG3N-1",,"likelihood",-2539.5,0.003734
5,"R_Date","TG3N-1",,"likelihood",-2534.5,0.004014
5,"R_Date","TG3N-1",,"likelihood",-2529.5,0.004352
5,"R_Date","TG3N-1",,"likelihood",-2524.5,0.004552
